descriptor_id,raw_descriptor,cleaned_descriptor,best_guess,score
b27bdc80-b528-41c5-a5c7-9bccc6fbdb18,SAMSCLUB.COM,SAMSCLUB COM,PUBLIC.COM,62.5
bb7cf037-cfbe-480a-9a4f-3f92d54b296d,SP MAGICMINIMAN.COM,SP MAGICMINIMAN COM,HOTELS.COM,46.15384615384615
bf1be3b2-73ba-4f2f-85da-d1281889cf67,TOM THUMB #2609,TOM THUMB,STUBHUB,66.66666666666667
c298fdb4-22c4-4fb5-8dad-3a87f94696f8,AA WIFI 1-888-649-6711,AA WIFI 1,ASANA,57.14285714285714
c57ddd3b-4069-4a9c-9574-508c681450f6,WOODMANS FOOD MARKET 020,WOODMANS FOOD MARKET,WOODMAN'S MARKET,83.33333333333333
d66751c9-e48f-4ff6-9c3b-a06ce02291b2,IN-N-OUT TUSTIN,IN N OUT TUSTIN,IN-N-OUT BURGER,61.53846153846154
d6bb12fe-a1d8-4746-8c89-00d19b372e5e,NNT ULTA # 480     572748,NNT ULTA,ULTA BEAUTY,66.66666666666667
d947b199-8b6f-4bff-90c0-4c5513b34254,WMT PLUS Aug 2024,WMT PLUS AUG,UPS,66.66666666666667
da68112c-6ba7-46db-94f2-03f1c547b684,WMT PLUS Jul 2024,WMT PLUS JUL,UPS,66.66666666666667
e5e86798-d571-4c31-b0bc-d3b7194e3b0f,WMT PLUS Nov 2024,WMT PLUS NOV,UPS,66.66666666666667
e761cfdd-918e-44d1-b9bd-635932cef7bf,WOODMANS FOOD M BUFFALO GROVE IL 03/02,WOODMANS FOOD M BUFFALO GROVE IL,FOOD LION,61.53846153846154
eaa0cb20-bf5e-4481-b229-a78df7c84e90,WGC*NEIMANMARCUS,WGC,CHIPOTLE,50.0
f22e5513-66de-45e4-b4a4-a2ac3255c79d,WMT PLUS Sep 2024,WMT PLUS SEP,UPS,66.66666666666667
fa13b000-35a5-4c47-9e5f-3e72023d0273,CHEDDAR'S 0202093,CHEDDAR S,HARRY'S,54.54545454545454
faec138c-e519-4bf7-b653-5194afda500a,WMT PLUS Oct 2024,WMT PLUS OCT,UPS,66.66666666666667
